valence,arousal,dominance,liking,familiarity,relevance,emotionCategory
1.03,7.97,3.05,2,3,2.47,Alarmed
4.96,1.01,4.98,3,1,1,Neutral
4.02,1.03,7.04,3,1,1.01,Neutral
7.03,8.03,6,4,1,1.01,Happy
2.99,7.03,6.04,3,1,1.01,Alarmed
5.06,1.01,6.02,3,3,2,Neutral
4.98,2.03,1,2,2,2.93,Neutral
1.01,1.03,1.01,1,5,4.04,Neutral
8.03,8.92,1.99,5,5,3.99,Happy
8.07,5,1.97,5,4,5,Happy
1,8.01,1,2,3,1.99,Alarmed
2.01,1.08,1.93,2,3,1.99,Sad
1.03,8.05,1.06,2,4,1,Alarmed
1,5.91,2.03,2,1,1.05,Sad
5.08,1.08,1,1,2,2.02,Sad
2.94,5,1.99,2,1,1.31,Alarmed
8.05,7.99,4.96,4,4,3.1,Happy
1,2.09,3.96,2,1,1,Neutral
8.01,8.95,5.02,4,4,3.01,Neutral
1,1.97,7.97,1,1,1.01,Neutral
1,5.04,8.97,1,3,1,Alarmed
5.02,9,8.97,3,5,5,Alarmed
1.03,7.97,7.03,1,2,3.04,Alarmed
1,9,5,3,3,2.04,Alarmed
5,5.04,5.95,3,3,2,Neutral
1.01,8.95,2.99,3,3,1,Alarmed
1.01,5,4.98,3,3,1.97,Alarmed
5.04,4.96,5,3,2,1.98,Neutral
5.08,2.97,2.99,3,4,2.03,Neutral
3.17,2.94,1.95,2,4,1,Neutral
6.95,7.7,6.87,4,5,1.91,Happy
7.01,7.16,6.97,4,5,2,Happy
6.95,6.49,5.06,4,4,2.11,Neutral
7.1,5.58,4.9,3,5,2.36,Neutral
6.99,2.94,4.32,3,5,1.25,Neutral
9,7.06,6.02,5,5,4.35,Neutral
5.04,2.94,4,3,2,1.72,Neutral
1.93,3.19,3.01,2,3,1.87,Neutral
5,6.77,4.07,3,5,1.61,Neutral
2.05,6.95,2.8,4,4,1,Alarmed
1.33,6.95,1.64,4,1,1,Neutral
6.97,2.22,6.54,3,4,1,Neutral
1.16,6.39,4.85,2,2,1,Sad
5,1,5.04,3,3,1,Neutral
4.04,4.02,4.04,2,3,1,Alarmed
1,7.99,2.03,4,1,1,Neutral
8.57,7.78,7.99,5,4,3.99,Happy
1.41,6.02,4.98,2,2,1,Alarmed
1,8.47,3.03,2,1,1,Alarmed
3.05,6.99,6.06,2,2,1,Alarmed
8.03,7.49,1.49,5,1,3,Happy
1.01,7.99,7.01,1,2,1,Alarmed
1,1,2.03,1,1,1,Sad
2.96,6.06,4.04,2,1,1,Alarmed
8.07,7.01,1.99,4,4,2.02,Happy
1,6.02,7.99,1,1,1,Alarmed
4.94,5.04,6.95,3,1,1,Alarmed
9,8.01,1.97,5,3,1,Happy
4.92,4.94,5.06,2,1,1,Neutral
1.03,8.92,5.98,2,1,3.08,Neutral
8.97,5.02,5.04,5,3,4.08,Neutral
1.05,9,8.01,1,3,1.97,Alarmed
7.93,7.06,4.96,4,3,1,Neutral
1,7.18,6.91,2,1,1.06,Neutral
8.05,5.08,6.77,4,1,1,Neutral
1,6.93,4,1,5,1.06,Sad
5,1,1,1,1,1.05,Neutral
8.05,9,9,4,1,1.03,Neutral
6.02,5.02,5.02,4,2,3,Neutral
2.11,5,5.1,3,4,4,Neutral
2.01,2.97,5.1,3,3,2.02,Alarmed
6.1,4.98,6.06,4,2,2,Neutral
1.93,7.03,5.08,1,1,1.02,Neutral
5.95,7.01,4.92,3,3,3.59,Neutral
6.99,6.02,5.08,4,3,3.01,Happy
5,2.03,4.83,3,2,2.1,Neutral
2.01,8.05,6.91,2,2,2,Alarmed
2.3,9,1.86,2,1,1.4,Alarmed
4.94,8.18,8.09,3,3,2.03,Neutral
5.02,4.96,3.94,3,4,2.01,Alarmed
1.88,6.99,6.89,3,4,1.54,Alarmed
8.13,7.01,7.08,4,5,4.05,Happy
1.89,8.01,6.95,3,5,1.25,Alarmed
2.99,6.93,6.06,2,5,1.29,Alarmed
5.06,5.14,4.88,3,4,1.01,Sad
1.01,7.24,3.42,2,5,3.94,Sad
7.99,7.99,6.06,4,5,4.01,Happy
7.99,8.14,7.08,3,4,4.03,Happy
3.78,6.99,6.81,3,4,1.97,Alarmed
2.97,7.99,3.92,3,4,1.08,Alarmed
5.02,3.01,4,2,1,2.01,Neutral
8.01,8.01,6.97,5,5,2.02,Happy
9,8.03,7.99,5,5,5,Happy
4.98,5,4,3,3,1.02,Neutral
3.03,7.01,7.06,2,1,1.02,Happy
3.03,7.03,6.99,4,4,2.01,Alarmed
4.98,6.08,5,3,2,1,Neutral
2.99,7.06,7.03,2,4,1,Alarmed
1.99,7.99,6.99,4,3,1.99,Happy
2.03,2.97,7.01,2,3,1,Sad
8.05,8.01,7.99,4,3,2.02,Happy
7.12,6.99,7.91,4,1,2.64,Happy
2.01,6.95,6.06,3,1,1.64,Alarmed
2.7,1.91,1.64,1,1,1.55,Sad
5.1,4.9,5.06,2,1,1,Neutral
1.01,8.9,1.06,1,1,1.05,Sad
6.85,2.69,2.97,4,4,2.03,Neutral
1,6.76,1.82,1,2,1.02,Alarmed
1,6.64,4.96,2,3,1.25,Alarmed
1.82,6.12,5.75,1,1,1.46,Alarmed
1.55,2.22,2.26,1,2,1.03,Sad
7.99,3.11,4.79,4,4,2.01,Neutral
6.02,2.92,5.79,4,2,2.98,Alarmed
1,9,1.1,5,2,2.01,Alarmed
1,4.94,4.96,4,1,1,Sad
1,6.39,5.15,3,2,2.02,Alarmed
1,7.08,5.04,3,2,1,Alarmed
1.01,7.55,4.96,3,3,1,Sad
9,9,9,5,1,1,Happy
5,1,5,3,1,1,Sad
1.03,5.75,5.02,3,2,1,Alarmed
9,7.03,8.94,5,2,2.02,Happy
1,7.12,1.03,3,4,1.01,Sad
6.99,5.56,6.2,4,4,3.34,Neutral
2.13,5.87,2.9,4,4,2.01,Neutral
1.18,8.03,1.78,2,4,2.04,Neutral
1.99,1.78,2.99,2,4,2.03,Neutral
2.01,6.1,2.57,2,4,3.72,Alarmed
3.92,3.92,4.13,2,2,1.97,Neutral
7.03,6.97,6.89,4,4,3.65,Happy
2.03,5.83,2.42,2,2,2.08,Alarmed
2.22,5.81,2.32,2,2,2.28,Alarmed
2.2,2.86,2.2,2,2,1.99,Sad
2.11,3.21,2.74,2,2,1.94,Sad
8.05,6,4.98,4,3,2.99,Neutral
2.03,4.02,5.96,1,3,3.02,Neutral
1.12,1.78,4.92,1,3,1.37,Neutral
8.88,8.92,4.98,5,5,4.62,Happy
4.75,2.9,3.96,2,2,1,Neutral
7.03,7.08,5.08,4,5,2.03,Happy
1,6.93,8.88,1,4,1.49,Sad
1.8,1.91,4.88,1,1,1.01,Neutral
2.07,6.22,6.02,3,5,1.86,Alarmed
1.2,6.45,5.37,1,1,1.12,Alarmed
1,3.26,5.95,1,1,1.19,Alarmed
5,1.03,1,3,1,1,Neutral
7.04,1,1,4,1,3.01,Happy
4.96,3.03,1.01,2,1,1.02,Neutral
7.06,4,2.94,3,2,4.02,Neutral
1.97,7.03,4.96,3,3,1.03,Neutral
3.01,7.03,2.96,5,2,1,Neutral
5.02,1,1,2,1,1,Neutral
9,7.04,5.04,5,4,1,Happy
1.06,8.99,7.04,3,2,1.02,Neutral
6.99,2.99,1,5,3,1,Happy
1.05,1.05,1.01,4,2,1.04,Neutral
8.01,4.98,8.07,4,1,1.7,Alarmed
8.03,8.63,7.99,4,4,5,Alarmed
9,9,9,4,5,4.03,Happy
1,9,8.09,1,5,5,Alarmed
1,9,8.47,1,5,5,Alarmed
5,6.54,8.72,3,4,3.99,Alarmed
1,8.01,8.9,1,5,5,Alarmed
1,9,1,1,4,5,Alarmed
5,1,4.98,3,3,2.98,Neutral
5.98,9,9,4,4,5,Sad
9,9,8.07,5,5,5,Happy
3.53,4.79,4.21,2,3,2.76,Neutral
5.1,4.88,4.05,3,3,2.56,Neutral
5.46,5.19,3.75,3,4,3.79,Happy
3.63,3.86,5.41,3,2,2.38,Sad
2.88,2.92,3.4,2,2,1.99,Neutral
1.99,2.92,7.08,4,1,1,Sad
1,1.89,7.97,2,3,4.04,Sad
1.89,1.99,4.96,3,2,1.98,Neutral
1.05,1.99,5.02,1,1,1,Sad
8.97,7.91,3.77,5,3,5,Happy
1.28,3.9,6.29,2,2,1.01,Sad
8.97,1.01,5,5,3,3.05,Neutral
8.92,4.73,8.99,5,5,4.91,Happy
1.06,2.97,9,1,5,5,Alarmed
1.01,1.03,6.87,1,5,4.94,Sad
1.03,9,8.88,1,5,2.96,Alarmed
1.03,1.06,3.03,1,4,1.1,Neutral
7.03,3.07,7.03,5,4,1.11,Happy
1.05,6.04,6.95,1,4,4.95,Alarmed
8.99,1.1,8.94,5,5,4.99,Neutral
8.97,8.9,8.97,5,5,4.96,Happy
1,7.72,7.03,1,4,1,Alarmed
7.01,7.04,6.04,4,3,3.84,Happy
8.74,8.2,8.53,5,5,4.95,Happy
4.02,6.04,5.93,5,5,4.85,Sad
4.98,5.91,6.93,4,4,4.82,Sad
1.95,7.03,8.22,3,4,3.71,Alarmed
5.27,5.33,5.27,4,3,3.05,Neutral
2.03,3.01,7.08,4,4,4.06,Sad
7.91,5.04,8.41,5,4,3.62,Neutral
1.55,4.96,7.99,4,4,3.18,Sad
2.07,5.96,6.97,4,4,3.6,Sad
5.96,7.06,7.06,5,4,3.84,Alarmed
8.03,5,5.02,4,2,1.55,Happy
1.93,8.57,4.05,3,2,2.01,Sad
1,8.67,2.99,1,1,1.07,Alarmed
1.57,8.51,5.02,3,1,1.1,Alarmed
5,4.96,4.44,3,1,1.08,Neutral
3.32,8.47,7.04,4,1,1.08,Alarmed
1.43,8.01,2.99,2,1,1.03,Alarmed
1.1,8.68,1.93,1,1,1,Alarmed
8.05,6.02,6.14,4,4,1.98,Neutral
8.65,9,7.14,5,4,3.94,Happy
8.09,7.89,5.02,4,3,3,Happy
5.81,1.99,3.55,3,2,2,Neutral
1.1,5.46,1.41,2,3,1.01,Alarmed
7.04,3.01,6.25,3,3,2.59,Neutral
1.08,2.97,1,1,2,1.01,Alarmed
1,4.88,6.27,1,2,1.48,Alarmed
5,1.45,4.94,3,3,1.18,Neutral
1,5.46,1,1,1,2.16,Neutral
1.08,6.95,1.37,1,2,2.66,Alarmed
1.26,6.29,1.6,1,2,2.02,Alarmed
2.55,2.88,2.8,2,2,1,Neutral
2.92,1.72,1.99,1,2,1.94,Neutral
6,5,4.92,4,3,1.99,Neutral
2.97,4.56,4.71,3,3,2.71,Sad
4.98,4.98,5.91,3,3,3.73,Neutral
2.03,4.59,4.07,2,2,2.03,Sad
4.98,4.04,4.07,2,2,1,Neutral
2.05,4.21,4,2,3,3.98,Sad
5.04,7.14,6.02,4,4,3.01,Happy
2.99,7.95,5.04,2,2,2.03,Neutral
4.05,5.71,4.88,2,2,2.02,Alarmed
7.99,7.03,6.04,4,4,4.97,Neutral
1,6.97,3.42,1,1,2.07,Alarmed
